"Brand","Position","Previous Position","Brand Value ($M)","Previous Brand Value ($M)","Rating","Previous Rating","Year","Previous Year"
"Mazda",302,345,"🔒","🔒","🔒","🔒",,
"Chanel",303,443,"🔒","🔒","🔒","🔒",,
"Rolls-Royce",304,318,"🔒","🔒","🔒","🔒",,
"John Deere",305,286,"🔒","🔒","🔒","🔒",,
"Exxon",306,"-","🔒","🔒","🔒","🔒",,
"La Poste",307,"-","🔒","🔒","🔒","🔒",,
"Lukoil",308,214,"🔒","🔒","🔒","🔒",,
"Wrigley's",309,"-","🔒","🔒","🔒","🔒",,
"PNC",310,242,"🔒","🔒","🔒","🔒",,
"China Minsheng Bank",311,419,"🔒","🔒","🔒","🔒",,
"Safeway",312,328,"🔒","🔒","🔒","🔒",,
"Emerson Electric",313,350,"🔒","🔒","🔒","🔒",,
"Land Rover",314,408,"🔒","🔒","🔒","🔒",,
"Qualcomm",315,421,"🔒","🔒","🔒","🔒",,
"Alcatel-Lucent",316,"-","🔒","🔒","🔒","🔒",,
"GMC",317,299,"🔒","🔒","🔒","🔒",,
"Magnit",318,349,"🔒","🔒","🔒","🔒",,
"Antarchile",319,"-","🔒","🔒","🔒","🔒",,
"Telus",320,323,"🔒","🔒","🔒","🔒",,
"Citroen",321,284,"🔒","🔒","🔒","🔒",,
"3",322,369,"🔒","🔒","🔒","🔒",,
"Sprite",323,291,"🔒","🔒","🔒","🔒",,
"Budweiser",324,"-","🔒","🔒","🔒","🔒",,
"QVC",325,387,"🔒","🔒","🔒","🔒",,
"Burberry",326,343,"🔒","🔒","🔒","🔒",,
"MINI",327,418,"🔒","🔒","🔒","🔒",,
"Subaru",328,358,"🔒","🔒","🔒","🔒",,
"Coach",329,333,"🔒","🔒","🔒","🔒",,
"Auchan",330,304,"🔒","🔒","🔒","🔒",,
"Asahi",331,285,"🔒","🔒","🔒","🔒",,
"Lexus",332,402,"🔒","🔒","🔒","🔒",,
"Moutai",333,"-","🔒","🔒","🔒","🔒",,
"Lufthansa",334,325,"🔒","🔒","🔒","🔒",,
"Telcel",335,258,"🔒","🔒","🔒","🔒",,
"CPIC",336,352,"🔒","🔒","🔒","🔒",,
"Pfizer",337,301,"🔒","🔒","🔒","🔒",,
"Omega",338,"-","🔒","🔒","🔒","🔒",,
"Berkshire Hathaway",339,427,"🔒","🔒","🔒","🔒",,
"Schneider Electric",340,337,"🔒","🔒","🔒","🔒",,
"Continental",341,376,"🔒","🔒","🔒","🔒",,
"Kyocera",342,398,"🔒","🔒","🔒","🔒",,
"Lotte Group",343,"-","🔒","🔒","🔒","🔒",,
"LIC",344,"-","🔒","🔒","🔒","🔒",,
"Southern Company",345,312,"🔒","🔒","🔒","🔒",,
"Xerox",346,341,"🔒","🔒","🔒","🔒",,
"Enbridge",347,275,"🔒","🔒","🔒","🔒",,
"Bombardier",348,292,"🔒","🔒","🔒","🔒",,
"Lancôme",349,199,"🔒","🔒","🔒","🔒",,
"Olay",350,293,"🔒","🔒","🔒","🔒",,
"State Bank of India",351,173,"🔒","🔒","🔒","🔒",,
"Kohl's",352,283,"🔒","🔒","🔒","🔒",,
"Marubeni",353,238,"🔒","🔒","🔒","🔒",,
"Ferrari",354,324,"🔒","🔒","🔒","🔒",,
"Discovery",355,"-","🔒","🔒","🔒","🔒",,
"DBS",356,342,"🔒","🔒","🔒","🔒",,
"Express Script",357,377,"🔒","🔒","🔒","🔒",,
"Huggies",358,"-","🔒","🔒","🔒","🔒",,
"Whole Foods",359,379,"🔒","🔒","🔒","🔒",,
"Mountain Dew",360,329,"🔒","🔒","🔒","🔒",,
"Sherwin-Williams",361,470,"🔒","🔒","🔒","🔒",,
"Best Buy",362,410,"🔒","🔒","🔒","🔒",,
"TEPCO",363,445,"🔒","🔒","🔒","🔒",,
"TUI Travel",364,389,"🔒","🔒","🔒","🔒",,
"Winston",365,250,"🔒","🔒","🔒","🔒",,
"Holcim",366,357,"🔒","🔒","🔒","🔒",,
"Ergo",367,330,"🔒","🔒","🔒","🔒",,
"Harley-Davidson",368,463,"🔒","🔒","🔒","🔒",,
"Royal Bank of Scotland",369,206,"🔒","🔒","🔒","🔒",,
"Victoria's Secret",370,344,"🔒","🔒","🔒","🔒",,
"Lenovo",371,400,"🔒","🔒","🔒","🔒",,
"McKinsey",372,405,"🔒","🔒","🔒","🔒",,
"NatWest",373,"-","🔒","🔒","🔒","🔒",,
"Maersk",374,404,"🔒","🔒","🔒","🔒",,
"Lockheed Martin",375,305,"🔒","🔒","🔒","🔒",,
"PICC",376,477,"🔒","🔒","🔒","🔒",,
"National Grid",377,340,"🔒","🔒","🔒","🔒",,
"Lay's Potato Chips",378,"-","🔒","🔒","🔒","🔒",,
"SYSCO",379,"-","🔒","🔒","🔒","🔒",,
"Travelers",380,385,"🔒","🔒","🔒","🔒",,
"United",381,415,"🔒","🔒","🔒","🔒",,
"MAN",382,372,"🔒","🔒","🔒","🔒",,
"Airtel",383,313,"🔒","🔒","🔒","🔒",,
"Western Digital",384,"-","🔒","🔒","🔒","🔒",,
"Bank of America Merrill Lynch",385,316,"🔒","🔒","🔒","🔒",,
"Chunghwa",386,406,"🔒","🔒","🔒","🔒",,
"MCC",387,296,"🔒","🔒","🔒","🔒",,
"Activision Blizzard",388,"-","🔒","🔒","🔒","🔒",,
"Fluor",389,248,"🔒","🔒","🔒","🔒",,
"Nippon Steel",390,315,"🔒","🔒","🔒","🔒",,
"Duracell",391,"-","🔒","🔒","🔒","🔒",,
"Nec",392,302,"🔒","🔒","🔒","🔒",,
"Dollar General",393,414,"🔒","🔒","🔒","🔒",,
"AIA",394,416,"🔒","🔒","🔒","🔒",,
"Gas Natural",395,453,"🔒","🔒","🔒","🔒",,
"Capgemini",396,457,"🔒","🔒","🔒","🔒",,
"PTT",397,366,"🔒","🔒","🔒","🔒",,
"Lloyds",398,380,"🔒","🔒","🔒","🔒",,
"Claro",399,153,"🔒","🔒","🔒","🔒",,
"The Co-operative Group",400,497,"🔒","🔒","🔒","🔒",,
"AutoZone",401,331,"🔒","🔒","🔒","🔒",,
"Goodyear",402,381,"🔒","🔒","🔒","🔒",,
"Tiffany & Co.",403,"-","🔒","🔒","🔒","🔒",,
"KPN",404,"-","🔒","🔒","🔒","🔒",,
"Geico",405,"-","🔒","🔒","🔒","🔒",,
"Michael Kors",406,"-","🔒","🔒","🔒","🔒",,
"Endesa",407,373,"🔒","🔒","🔒","🔒",,
"MTS",408,361,"🔒","🔒","🔒","🔒",,
"Dongfeng",409,451,"🔒","🔒","🔒","🔒",,
"Commerzbank",410,471,"🔒","🔒","🔒","🔒",,
"J.C. Penney",411,411,"🔒","🔒","🔒","🔒",,
"Johnson's",412,"-","🔒","🔒","🔒","🔒",,
"KFC",413,364,"🔒","🔒","🔒","🔒",,
"Optus",414,420,"🔒","🔒","🔒","🔒",,
"Skol",415,"-","🔒","🔒","🔒","🔒",,
